
  403.0730 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-0.567 55 0.000  -15  126F5 -6 0    2002 1714     0
  403.0745 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.485 55 0.000  -15   39F5 -5 0    2002 1714     0
  403.0746 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-0.707 55 0.000   -3   39F4 -5 0    2002 1714     0
  403.0756 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-2.702 55 0.000  -15  -33F5 -4 0    2002 1714     0
  403.0758 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.309 55 0.000   -3  -33F4 -4 0    2002 1714     0
  403.0760 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-0.865 55 0.000    7  -33F3 -4 0    2002 1714     0
  403.0767 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-2.350 55 0.000   -3  -90F4 -3 0    2002 1714     0
  403.0769 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.283 55 0.000    7  -90F3 -3 0    2002 1714     0
  403.0770 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.049 55 0.000   14  -90F2 -3 0    2002 1714     0
  403.0776 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-2.225 55 0.000    7 -132F3 -2 0    2002 1714     0
  403.0777 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.350 55 0.000   14 -132F2 -2 0    2002 1714     0
  403.0778 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.271 55 0.000   19 -132F1 -2 0    2002 1714     0
  403.0782 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.526 55 0.000   19 -160F1 -1 0    2002 1714     0
  403.0782 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-2.304 55 0.000   14 -160F2 -1 0    2002 1714     0
  403.0783 -0.470 25.00       0.000  2.5 d5 4s2 a6S   24802.250  3.5 (6S)sp z6P  7.20 -6.28 -7.83MFW  0 0 55-1.556 55 0.000   21 -160F0 -1 0    2002 1714     0

  403.3044 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-0.582 55 0.000  -15   97F5 -5 0    2002 1875     0
  403.3046 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.360 55 0.000   -3   97F4 -5 0    2002 1875     0
  403.3057 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.360 55 0.000  -15   20F5 -4 0    2002 1875     0
  403.3059 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-0.845 55 0.000   -3   20F4 -4 0    2002 1875     0
  403.3060 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.197 55 0.000    7   20F3 -4 0    2002 1875     0
  403.3069 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.197 55 0.000   -3  -42F4 -3 0    2002 1875     0
  403.3070 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.176 55 0.000    7  -42F3 -3 0    2002 1875     0
  403.3071 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.192 55 0.000   14  -42F2 -3 0    2002 1875     0
  403.3078 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.192 55 0.000    7  -90F3 -2 0    2002 1875     0
  403.3079 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.623 55 0.000   14  -90F2 -2 0    2002 1875     0
  403.3080 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.294 55 0.000   19  -90F1 -2 0    2002 1875     0
  403.3084 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.294 55 0.000   14 -122F2 -1 0    2002 1875     0
  403.3085 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-2.322 55 0.000   19 -122F1 -1 0    2002 1875     0
  403.3086 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.556 55 0.000   21 -122F0 -1 0    2002 1875     0
  403.3088 -0.618 25.00       0.000  2.5 d5 4s2 a6S   24788.050  2.5 (6S)sp z6P  7.17 -6.28 -7.84MFW  0 0 55-1.556 55 0.000   19 -138F1 -0 0    2002 1875     0

  403.4469 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-0.515 55 0.000  -15   72F5 -4 0    2002 2364     0
  403.4471 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.204 55 0.000   -3   72F4 -4 0    2002 2364     0
  403.4473 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-2.158 55 0.000    7   72F3 -4 0    2002 2364     0
  403.4484 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-0.727 55 0.000   -3   -5F4 -3 0    2002 2364     0
  403.4485 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.058 55 0.000    7   -5F3 -3 0    2002 2364     0
  403.4486 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.778 55 0.000   14   -5F2 -3 0    2002 2364     0
  403.4494 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.000 55 0.000    7  -62F3 -2 0    2002 2364     0
  403.4496 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.602 55 0.000   19  -62F1 -2 0    2002 2364     0
  403.4496 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.079 55 0.000   14  -62F2 -2 0    2002 2364     0
  403.4502 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.410 55 0.000   14 -100F2 -1 0    2002 2364     0
  403.4503 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.556 55 0.000   21 -100F0 -1 0    2002 2364     0
  403.4503 -0.811 25.00       0.000  2.5 d5 4s2 a6S   24779.320  1.5 (6S)sp z6P  7.15 -6.28 -7.84MFW  0 0 55-1.234 55 0.000   19 -100F1 -1 0    2002 2364     0

  404.1323  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.812 55 0.000 -232  -38F2 -3 0    1559 1556     0
  404.1325  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.168 55 0.000 -232  -48F2 -2 0    1559 1556     0
  404.1329  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.615 55 0.000 -182  -24F3 -4 0    1559 1556     0
  404.1331  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.114 55 0.000 -182  -38F3 -3 0    1559 1556     0
  404.1332 -0.032 25.00   41031.480  4.5 (3G)4s a2G   65768.810  4.5 (3G)4p 2G   8.06 -5.86 -7.77K88  0 0  0 0.000  0 0.000    0    0      0    1118 1120     0
  404.1333  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.812 55 0.000 -182  -48F3 -2 0    1559 1556     0
  404.1337  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.559 55 0.000 -115   -6F4 -5 0    1559 1556     0
  404.1340  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.008 55 0.000 -115  -24F4 -4 0    1559 1556     0
  404.1342  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.615 55 0.000 -115  -38F4 -3 0    1559 1556     0
  404.1347  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.600 55 0.000  -31   15F5 -6 0    1559 1556     0
  404.1350  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-0.884 55 0.000  -31   -6F5 -5 0    1559 1556     0
  404.1353  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.559 55 0.000  -31  -24F5 -4 0    1559 1556     0
  404.1360  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.790 55 0.000   71   39F6 -7 0    1559 1556     0
  404.1364  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-0.756 55 0.000   71   15F6 -6 0    1559 1556     0
  404.1367  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.600 55 0.000   71   -6F6 -5 0    1559 1556     0
  404.1380  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-0.631 55 0.000  193   39F7 -7 0    1559 1556     0
  404.1384  0.285 25.00   17052.290  4.5 (5D)4s a6D   41789.480  4.5 (5D)4p z6D  7.96 -6.17 -7.83MFW  0 0 55-1.790 55 0.000  193   15F7 -6 0    1559 1556     0

  404.1600 -1.804 25.00   33825.490  2.5 3P2)4s b4P   58561.180  2.5 7S)s11p 8P  7.85 -5.35 -7.50K88  0 0  0 0.000  0 0.000    0    0      0    1602 1225     0

  540.7325 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.396 55 0.000 -172  152F1 -1 0    1584 1712     0
  540.7332 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.651 55 0.000 -172  127F1 -2 0    1584 1712     0
  540.7333 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.651 55 0.000 -141  152F2 -1 0    1584 1712     0
  540.7341 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.332 55 0.000 -141  127F2 -2 0    1584 1712     0
  540.7353 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.453 55 0.000 -141   87F2 -3 0    1584 1712     0
  540.7354 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.453 55 0.000  -96  127F3 -2 0    1584 1712     0
  540.7366 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.157 55 0.000  -96   87F3 -3 0    1584 1712     0
  540.7382 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.388 55 0.000  -96   33F3 -4 0    1584 1712     0
  540.7384 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.388 55 0.000  -35   87F4 -3 0    1584 1712     0
  540.7400 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-0.965 55 0.000  -35   33F4 -4 0    1584 1712     0
  540.7420 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.419 55 0.000  -35  -36F4 -5 0    1584 1712     0
  540.7422 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.419 55 0.000   42   33F5 -4 0    1584 1712     0
  540.7442 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-0.780 55 0.000   42  -36F5 -5 0    1584 1712     0
  540.7468 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.601 55 0.000   42 -123F5 -6 0    1584 1712     0
  540.7469 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.601 55 0.000  134  -36F6 -5 0    1584 1712     0
  540.7494 -1.743 25.00   17282.000  3.5 (5D)4s a6D   35769.970  3.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-0.609 55 0.000  134 -123F6 -6 0    1584 1712     0

  542.0256 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.556 55 0.000 -172  164F1 -0 0    1584 1886     0
  542.0261 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.526 55 0.000 -172  146F1 -1 0    1584 1886     0
  542.0270 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.271 55 0.000 -141  146F2 -1 0    1584 1886     0
  542.0272 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-2.304 55 0.000 -172  109F1 -2 0    1584 1886     0
  542.0281 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.350 55 0.000 -141  109F2 -2 0    1584 1886     0
  542.0295 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.049 55 0.000  -96  109F3 -2 0    1584 1886     0
  542.0298 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-2.225 55 0.000 -141   53F2 -3 0    1584 1886     0
  542.0311 -1.462 25.00   17282.000  3.5 (5D)4s a6D   35725.850  2.5 (6S)sp y6P  8.60 -6.17 -7.78MFW  0 0 55-1.283 55 0.000  -96   53F3 -3 0    1584 1886     0
