id,ww,ep,ew,rew,ab,nlte_delta
26.01,3949.953,2.174,92.7,-4.63,5.992,0.274
26.01,3977.741,2.196,93.1,-4.631,5.881,0.264
26.01,4058.217,3.209,48.3,-4.924,6.108,0.214
26.01,4062.441,2.845,73.7,-4.741,5.866,0.272
26.01,4067.978,3.209,77.3,-4.721,5.948,0.187
26.01,4070.771,3.239,58.0,-4.846,5.984,0.213
26.01,4107.488,2.832,102.0,-4.605,6.448,0.233
26.01,4114.445,2.832,50.9,-4.908,5.896,0.255
26.01,4132.899,2.845,68.9,-4.778,5.906,0.233
26.01,4134.677,2.832,99.3,-4.619,6.138,0.265
26.01,4136.998,3.415,71.8,-4.761,5.973,0.284
26.01,4147.668,1.485,91.0,-4.659,6.053,0.073
26.01,4153.899,3.397,82.4,-4.703,6.009,0.287
26.01,4154.499,2.832,78.8,-4.722,5.754,0.287
26.01,4154.805,3.368,72.4,-4.759,5.878,0.287
26.01,4157.78,3.417,68.3,-4.784,5.859,0.165
26.01,4158.792,3.428,51.7,-4.905,5.89,0.279
26.01,4175.636,2.845,89.4,-4.669,6.109,0.269
26.01,4176.566,3.368,67.2,-4.793,6.187,0.259
26.01,4181.754,2.832,101.0,-4.617,5.904,0.194
26.01,4182.382,3.017,46.8,-4.951,5.886,0.202
26.01,4184.892,2.832,78.6,-4.726,5.936,0.263
26.01,4187.039,2.45,116.5,-4.556,5.975,0.180
26.01,4187.795,2.425,117.6,-4.552,5.979,0.180
26.01,4191.43,2.469,111.7,-4.574,6.011,0.210
26.01,4195.329,3.332,79.8,-4.721,6.066,0.281
26.01,4217.545,3.43,70.7,-4.776,5.989,0.293
26.01,4222.213,2.45,94.0,-4.652,5.926,0.205
26.01,4233.603,2.482,110.3,-4.584,5.921,0.196
26.01,4238.81,3.397,83.6,-4.705,5.932,0.250
26.01,4250.119,2.469,124.2,-4.534,5.99,0.120
26.01,4271.153,2.45,128.0,-4.523,5.974,
26.01,4282.403,2.176,132.4,-4.51,6.369,0.235
26.01,4337.045,1.557,93.2,-4.668,5.73,
26.01,4352.735,2.223,89.7,-4.686,5.928,
26.01,4388.407,3.603,45.5,-4.984,5.925,
26.01,4430.614,2.223,71.2,-4.794,5.935,
26.01,4442.339,2.198,101.0,-4.643,6.048,
26.01,4443.194,2.858,64.9,-4.835,5.862,
26.01,4447.717,2.221,95.1,-4.67,6.041,
26.01,4466.551,2.832,96.8,-4.664,5.989,
26.01,4484.22,3.6,47.8,-4.972,5.909,
26.01,4494.563,2.198,105.1,-4.631,6.005,
26.01,4528.614,2.176,137.1,-4.519,6.254,
26.01,4531.148,1.485,92.2,-4.691,6.061,
26.01,4547.847,3.544,37.2,-5.087,5.813,
26.01,4592.651,1.557,58.2,-4.897,5.829,
26.01,4595.358,3.301,33.0,-5.144,6.475,
26.01,4602.0,1.608,25.5,-5.256,6.022,
26.01,4602.941,1.485,85.0,-4.734,5.968,
26.01,4607.647,3.263,30.2,-5.183,5.951,
26.01,4619.288,3.6,31.6,-5.165,6.04,
26.01,4630.12,2.279,31.0,-5.174,6.242,
26.01,4637.503,3.281,35.4,-5.117,6.028,
26.01,4643.463,3.654,21.8,-5.328,5.967,
26.01,4647.434,2.949,56.2,-4.917,6.102,
26.01,4668.134,3.263,46.8,-4.999,5.995,
26.01,4733.591,1.485,46.0,-5.012,6.093,
26.01,4736.773,3.211,72.4,-4.816,6.023,0.272
26.01,4786.807,3.017,38.5,-5.095,6.129,0.233
26.01,4789.651,3.547,33.9,-5.15,5.926,0.078
26.01,4871.318,2.865,107.5,-4.656,5.888,0.158
