id,ww,ep,ew,rew,ab,err_ab,ab_hfscor,nlte_delta
56.1,5853.668,0.6,99.5,-4.77,1.379,0.12302641992677837,,999.0
20.01,6122.217,1.88,105.0,-4.766,5.282,0.1030920102870927,,0.076
20.01,6102.723,1.88,67.4,-4.957,5.167,0.1030920102870927,,0.159
20.01,6162.173,1.9,114.7,-4.73,4.95,0.1030920102870927,,0.008
20.01,6169.563,2.52,45.0,-5.137,4.839,0.1030920102870927,,0.082
20.01,6439.075,2.52,102.5,-4.798,5.038,0.1030920102870927,,-0.067
20.01,6169.042,2.52,30.2,-5.31,4.859,0.1030920102870927,,0.082
20.01,6449.808,2.52,47.0,-5.137,5.15,0.1030920102870927,,0.002
58.1,3942.151,0.0,30.9,-5.106,0.632,0.13883308323306803,,999.0
58.1,4053.503,0.0,21.8,-5.269,0.806,0.13883308323306803,,999.0
24.01,4254.352,0.0,136.0,-4.495,3.863,0.12550131517537194,,0.110
24.01,4274.812,0.0,133.0,-4.507,3.912,0.12550131517537194,,0.112
24.01,4289.731,0.0,131.2,-4.514,4.027,0.12550131517537194,,0.109
24.01,5206.023,0.94,112.0,-4.667,4.0,0.12550131517537194,,0.053
24.01,5208.409,0.94,137.2,-4.579,4.338,0.12550131517537194,,0.025
24.01,4545.953,0.94,27.9,-5.212,3.976,0.12550131517537194,,0.438
24.01,4626.173,0.97,25.7,-5.255,3.914,0.12550131517537194,,0.390
24.01,5298.272,0.98,40.2,-5.12,3.965,0.12550131517537194,,0.333
24.01,4616.124,0.98,34.0,-5.133,3.949,0.12550131517537194,,0.388
24.01,5296.691,0.98,25.9,-5.311,3.918,0.12550131517537194,,0.372
24.01,4651.291,0.98,20.4,-5.358,3.925,0.12550131517537194,,0.387
24.01,5345.796,1.0,49.0,-5.038,3.933,0.12550131517537194,,0.304
24.01,4652.157,1.0,39.5,-5.071,3.913,0.12550131517537194,,0.387
24.01,3908.756,1.0,25.6,-5.184,3.723,0.12550131517537194,,0.444
24.01,5348.314,1.0,29.8,-5.254,3.867,0.12550131517537194,,0.330
24.01,4600.749,1.0,28.3,-5.211,3.921,0.12550131517537194,,0.398
24.01,5409.783,1.03,60.4,-4.952,3.857,0.12550131517537194,,0.238
24.01,4646.162,1.03,50.5,-4.964,3.821,0.12550131517537194,,0.359
66.1,4449.7,0.0,49.3,-4.955,1.168,0.11056559139262091,,999.0
63.1,6645.064,1.38,31.2,-5.328,0.384,0.09028427327059792,,999.0
19.0,7664.911,0.0,114.2,-4.827,4.36,0.15202980793252363,,999.0
19.0,7698.974,0.0,80.9,-4.978,4.126,0.15202980793252363,,999.0
57.1,4662.498,0.0,22.8,-5.311,0.598,0.10592096109835863,,999.0
12.01,4571.096,0.0,62.0,-4.868,6.401,0.09881741018441773,,0.400
12.01,5528.405,4.34,121.7,-4.657,6.488,0.09881741018441773,,0.085
12.01,4702.991,4.34,118.9,-4.597,6.489,0.09881741018441773,,0.204
12.01,4167.271,4.34,99.6,-4.622,6.604,0.09881741018441773,,0.289
12.01,4057.505,4.34,100.2,-4.607,6.788,0.09881741018441773,,0.262
12.01,5711.088,4.34,34.5,-5.219,6.448,0.09881741018441773,,0.195
25.01,4033.062,0.0,137.0,-4.469,3.901,0.24601727581615065,3.534,0.149
25.01,4034.483,0.0,114.7,-4.546,3.556,0.24601727581615065,3.257,0.166
60.1,4109.45,0.32,77.7,-4.723,1.014,0.1404704150346257,,999.0
60.1,4061.08,0.47,71.6,-4.754,0.861,0.1404704150346257,,999.0
28.0,5476.904,1.82,93.5,-4.768,4.644,0.08170586134285433,,999.0
28.0,4648.652,3.42,26.9,-5.238,4.47,0.08170586134285433,,999.0
28.0,4604.988,3.48,22.6,-5.309,4.585,0.08170586134285433,,999.0
28.0,4756.515,3.48,22.3,-5.329,4.599,0.08170586134285433,,999.0
28.0,5017.576,3.54,28.0,-5.253,4.538,0.08170586134285433,,999.0
28.0,4904.407,3.54,27.6,-5.25,4.673,0.08170586134285433,,999.0
28.0,4980.173,3.6,32.2,-5.189,4.582,0.08170586134285433,,999.0
28.0,5080.533,3.65,42.7,-5.075,4.564,0.08170586134285433,,999.0
28.0,5084.089,3.68,28.8,-5.247,4.63,0.08170586134285433,,999.0
28.0,5081.107,3.84,34.9,-5.163,4.636,0.08170586134285433,,999.0
21.1,4324.996,0.59,116.1,-4.571,1.964,0.1389333653230929,1.661,999.0
21.1,4415.557,0.59,98.4,-4.652,1.78,0.1389333653230929,1.49,999.0
21.1,4320.732,0.6,134.3,-4.507,2.186,0.1389333653230929,1.93,999.0
21.1,4400.389,0.6,104.5,-4.624,1.781,0.1389333653230929,1.495,999.0
21.1,4374.457,0.62,110.5,-4.598,1.875,0.1389333653230929,1.856,999.0
62.1,4704.4,0.0,25.8,-5.261,0.587,0.1093629279052093,,999.0
39.1,4398.01,0.13,68.2,-4.809,1.033,0.10287206354658844,,999.0
39.1,4682.325,0.41,26.3,-5.251,1.095,0.10287206354658844,,999.0
39.1,4883.684,1.08,77.1,-4.802,1.047,0.10287206354658844,,999.0
39.1,5662.925,1.94,39.0,-5.162,1.174,0.10287206354658844,,999.0
30.0,4722.15,4.03,33.1,-5.154,3.119,0.07206420748193941,,999.0
30.0,4810.53,4.08,41.0,-5.069,3.086,0.07206420748193941,,999.0
40.1,4258.041,0.56,92.4,-4.664,2.641,0.30213269711612906,,999.0
40.1,4208.98,0.71,73.5,-4.758,1.743,0.30213269711612906,,999.0
40.1,4496.962,0.71,96.0,-4.671,2.51,0.30213269711612906,,999.0
