id,ww,ep,ew,rew,ab,difab
26.0,3742.617,2.938,87.6,-4.631,6.238,
26.0,3808.729,2.557,87.4,-4.639,6.205,
26.0,3949.953,2.174,96.7,-4.611,6.09,
26.0,3977.741,2.196,114.9,-4.539,6.404,
26.0,4058.217,3.209,43.7,-4.968,6.032,
26.0,4062.441,2.845,76.9,-4.723,5.926,
26.0,4067.978,3.209,71.5,-4.755,5.843,
26.0,4070.771,3.239,52.1,-4.893,5.888,
26.0,4114.445,2.832,50.0,-4.915,5.883,
26.0,4132.899,2.845,67.1,-4.79,5.877,
26.0,4134.677,2.832,87.6,-4.674,5.892,
26.0,4136.998,3.415,62.0,-4.824,5.805,
26.0,4147.668,1.485,85.2,-4.687,5.936,
26.0,4150.249,3.428,22.6,-5.264,5.84,
26.0,4153.899,3.397,79.2,-4.72,5.948,
26.0,4154.499,2.832,78.5,-4.724,5.749,
26.0,4154.805,3.368,72.2,-4.76,5.874,
26.0,4157.78,3.417,64.0,-4.813,5.786,
26.0,4158.792,3.428,46.2,-4.954,5.798,
26.0,4174.913,0.915,73.5,-4.754,5.992,
26.0,4175.636,2.845,86.2,-4.685,6.045,
26.0,4176.566,3.368,63.2,-4.82,6.119,
26.0,4181.754,2.832,101.3,-4.616,5.91,
26.0,4182.382,3.017,45.8,-4.961,5.866,
26.0,4184.892,2.832,75.3,-4.745,5.875,
26.0,4187.039,2.45,112.2,-4.572,5.888,
26.0,4187.795,2.425,120.7,-4.54,6.041,
26.0,4191.43,2.469,109.6,-4.583,5.968,
26.0,4195.329,3.332,69.4,-4.781,5.878,
26.0,4213.647,2.845,42.4,-4.997,5.746,
26.0,4216.184,0.0,99.3,-4.628,5.95,
26.0,4217.545,3.43,63.2,-4.824,5.859,
26.0,4222.213,2.45,89.4,-4.674,5.833,
26.0,4233.603,2.482,106.1,-4.601,5.833,
26.0,4238.81,3.397,77.8,-4.736,5.822,
26.0,4250.119,2.469,121.4,-4.544,5.936,
26.0,4271.153,2.45,125.6,-4.532,5.929,
26.0,4282.403,2.176,118.7,-4.557,6.049,
26.0,4337.045,1.557,120.3,-4.557,6.316,
26.0,4352.735,2.223,90.2,-4.684,5.938,
26.0,4375.93,0.0,114.5,-4.582,5.923,
26.0,4388.407,3.603,42.3,-5.016,5.871,
26.0,4427.31,0.052,118.3,-4.573,5.941,
26.0,4430.614,2.223,65.9,-4.828,5.847,
26.0,4442.339,2.198,93.7,-4.676,5.906,
26.0,4443.194,2.858,90.3,-4.692,6.325,
26.0,4447.717,2.221,84.0,-4.724,5.832,
26.0,4459.117,2.176,115.7,-4.586,6.341,
26.0,4461.653,0.087,102.6,-4.638,5.91,
26.0,4466.551,2.832,89.4,-4.699,5.839,
26.0,4484.22,3.6,39.3,-5.057,5.768,
26.0,4489.739,0.121,59.2,-4.88,5.903,
26.0,4494.563,2.198,99.3,-4.656,5.891,
26.0,4531.148,1.485,85.1,-4.726,5.923,
26.0,4547.847,3.544,31.2,-5.164,5.703,
26.0,4592.651,1.557,74.2,-4.792,6.089,
26.0,4595.358,3.301,29.4,-5.194,6.405,
