id,ww,ep,ew,rew,ab,delta
26.01,3742.617,2.938,73.1,-4.709,5.911,0.222
26.01,3808.729,2.557,72.1,-4.723,5.86,0.243
26.01,3949.953,2.174,82.7,-4.679,5.741,0.254
26.01,3977.741,2.196,88.1,-4.655,5.725,0.252
26.01,4058.217,3.209,44.4,-4.961,6.034,0.203
26.01,4062.441,2.845,76.0,-4.728,5.879,0.258
26.01,4067.978,3.209,70.1,-4.764,5.794,0.177
26.01,4070.771,3.239,51.9,-4.895,5.871,0.200
26.01,4107.488,2.832,95.8,-4.632,6.26,0.222
26.01,4114.445,2.832,48.2,-4.931,5.842,0.242
26.01,4132.899,2.845,63.9,-4.811,5.802,0.219
26.01,4134.677,2.832,87.7,-4.673,5.847,0.252
26.01,4136.998,3.415,59.5,-4.842,5.745,0.269
26.01,4147.668,1.485,84.0,-4.694,5.879,0.068
26.01,4150.249,3.428,22.0,-5.276,5.82,0.256
26.01,4153.899,3.397,71.7,-4.763,5.788,0.271
26.01,4154.499,2.832,75.3,-4.742,5.66,0.272
26.01,4154.805,3.368,69.7,-4.775,5.807,0.272
26.01,4157.78,3.417,65.3,-4.804,5.787,0.156
26.01,4158.792,3.428,46.7,-4.95,5.796,0.264
26.01,4175.636,2.845,85.0,-4.691,5.984,0.256
26.01,4176.566,3.368,61.4,-4.833,6.072,0.246
26.01,4181.754,2.832,99.4,-4.624,5.816,0.185
26.01,4182.382,3.017,42.7,-4.991,5.806,0.193
26.01,4184.892,2.832,77.2,-4.734,5.88,0.251
26.01,4187.039,2.45,110.3,-4.579,5.788,0.171
26.01,4187.795,2.425,118.3,-4.549,5.926,0.171
26.01,4191.43,2.469,107.1,-4.593,5.858,0.199
26.01,4195.329,3.332,71.6,-4.768,5.891,0.266
26.01,4213.647,2.845,41.1,-5.011,5.717,0.245
26.01,4217.545,3.43,62.8,-4.827,5.835,0.277
26.01,4222.213,2.45,88.3,-4.68,5.772,0.195
26.01,4233.603,2.482,103.9,-4.61,5.734,
26.01,4238.81,3.397,72.9,-4.765,5.71,
26.01,4250.119,2.469,118.8,-4.554,5.818,
26.01,4271.153,2.45,114.6,-4.571,5.649,
26.01,4282.403,2.176,114.7,-4.572,5.888,
26.01,4337.045,1.557,91.7,-4.675,5.655,
26.01,4352.735,2.223,87.2,-4.698,5.843,
26.01,4388.407,3.603,42.6,-5.013,5.87,
26.01,4430.614,2.223,68.9,-4.808,5.878,
26.01,4442.339,2.198,95.2,-4.669,5.897,
26.01,4447.717,2.221,87.4,-4.707,5.862,
26.01,4466.551,2.832,86.5,-4.713,5.749,
26.01,4484.22,3.6,43.0,-5.018,5.824,
26.01,4494.563,2.198,100.9,-4.649,5.87,
26.01,4531.148,1.485,89.7,-4.703,5.974,
26.01,4547.847,3.544,34.8,-5.116,5.765,
26.01,4592.651,1.557,78.0,-4.77,6.13,
26.01,4602.0,1.608,23.0,-5.301,5.963,
26.01,4602.941,1.485,82.1,-4.749,5.887,
26.01,4607.647,3.263,28.6,-5.207,5.915,0.246
26.01,4619.288,3.6,27.1,-5.232,5.945,0.254
26.01,4630.12,2.279,26.8,-5.237,6.153,0.013
26.01,4637.503,3.281,27.8,-5.222,5.876,
26.01,4647.434,2.949,45.0,-5.014,5.915,0.249
26.01,4668.134,3.263,42.4,-5.042,5.915,0.256
26.01,4733.591,1.485,39.4,-5.08,5.98,0.266
26.01,4736.773,3.211,68.9,-4.837,5.945,0.258
26.01,4786.807,3.017,36.9,-5.113,6.096,0.221
26.01,4789.651,3.547,35.7,-5.128,5.954,0.074
26.01,4871.318,2.865,104.0,-4.671,5.775,0.151
26.01,4890.755,2.876,109.4,-4.65,5.915,0.112
26.01,4891.492,2.849,116.6,-4.623,5.778,0.112
26.01,4903.31,2.88,73.6,-4.824,5.814,0.217
26.01,4920.502,2.83,138.8,-4.55,5.935,0.060
26.01,4946.39,3.37,39.5,-5.098,5.988,0.221
26.01,4966.09,3.33,50.7,-4.991,5.803,0.254
26.01,5001.86,3.88,59.4,-4.925,5.712,0.269
26.01,5005.71,3.88,56.2,-4.95,5.773,0.222
26.01,5014.94,3.94,49.1,-5.009,5.776,0.263
26.01,5022.24,3.98,37.4,-5.128,5.772,0.256
26.01,5028.13,3.57,22.4,-5.351,5.752,0.231
26.01,5039.25,3.37,22.4,-5.352,6.057,0.015
26.01,5049.82,2.28,83.6,-4.781,5.821,0.244
26.01,5133.69,4.18,65.6,-4.894,5.733,0.329
26.01,5171.596,1.484,107.7,-4.681,5.815,0.251
26.01,5191.454,3.036,101.5,-4.709,6.078,0.144
26.01,5192.344,2.996,93.8,-4.743,5.774,0.144
26.01,5194.94,1.56,88.3,-4.77,5.896,0.286
26.01,5198.71,2.22,44.7,-5.066,5.923,0.266
26.01,5202.34,2.18,75.5,-4.838,6.068,0.276
26.01,5215.18,3.27,49.6,-5.022,5.787,0.258
26.01,5216.274,1.607,79.7,-4.816,5.79,0.267
26.01,5217.39,3.21,42.7,-5.087,5.828,0.256
26.01,5232.94,2.938,113.3,-4.665,5.833,0.047
26.01,5242.49,3.63,28.7,-5.262,5.896,0.249
26.01,5263.31,3.27,48.7,-5.034,5.783,0.255
26.01,5266.555,2.996,94.2,-4.747,5.852,0.120
26.01,5383.369,4.309,72.2,-4.873,5.82,0.394
26.01,5307.36,1.61,35.2,-5.178,6.003,999.0
26.01,5324.18,3.21,95.7,-4.745,5.708,0.228
26.01,5332.9,1.56,43.0,-5.093,5.867,999.0
26.01,5339.93,3.27,62.9,-4.929,5.759,0.255
26.01,5341.02,1.61,95.1,-4.749,5.922,0.001
26.01,5424.068,4.317,75.8,-4.855,5.865,0.372
26.01,5569.62,3.42,60.9,-4.961,5.761,0.249
26.01,5586.76,3.37,87.9,-4.803,5.724,0.231
26.01,5624.542,3.414,50.1,-5.05,5.829,0.256
26.01,5662.516,4.175,25.6,-5.345,5.801,0.265
26.01,5762.992,4.209,34.5,-5.223,5.96,0.261
26.01,6065.482,2.607,56.0,-5.035,5.856,0.249
26.01,6191.558,2.431,71.8,-4.936,5.983,0.242
26.01,6219.28,2.2,33.3,-5.271,5.965,999.0
26.01,6246.32,3.6,39.0,-5.205,5.826,999.0
26.01,6252.56,2.4,63.9,-4.991,5.918,0.253
26.01,6265.134,2.174,28.5,-5.342,5.956,0.266
26.01,6301.5,3.65,35.8,-5.246,5.759,0.251
26.01,6336.82,3.69,31.1,-5.309,5.85,0.251
26.01,6408.02,3.69,25.2,-5.405,5.866,0.248
26.01,6411.65,3.65,47.9,-5.127,5.837,0.245
26.01,6421.35,2.28,50.8,-5.102,5.93,999.0
26.01,6430.846,2.174,59.6,-5.033,5.87,999.0
26.01,6677.985,2.69,61.0,-5.039,5.935,0.238
26.01,6750.152,2.422,20.9,-5.509,6.101,999.0
26.01,7495.067,4.22,48.2,-5.192,5.892,0.224
26.01,7511.021,4.175,62.4,-5.081,5.846,0.221
26.01,8220.379,4.317,66.1,-5.095,5.818,999.0
26.01,8688.624,2.174,125.0,-4.842,5.98,999.0
26.02,4178.854,2.583,99.4,-4.624,6.068,999.0
26.02,4178.854,2.583,99.4,-4.624,6.068,999.0
26.02,4233.162,2.583,134.9,-4.497,6.148,-0.092
26.02,4178.854,2.583,100.5,-4.619,6.032,999.0
26.02,4178.854,2.583,100.5,-4.619,6.032,999.0
26.02,4233.163,2.583,133.2,-4.502,6.027,-0.092
26.02,4491.4,2.856,72.7,-4.791,5.962,-0.005
26.02,4515.334,2.844,88.2,-4.709,5.92,-0.007
26.02,4555.888,2.828,97.7,-4.669,5.973,-0.009
26.02,4576.328,2.844,59.5,-4.886,6.006,-0.008
26.02,4582.835,2.844,47.2,-4.987,5.96,-0.001
26.02,4583.829,2.807,129.9,-4.548,6.024,-0.042
26.02,4620.513,2.828,39.2,-5.071,5.947,999.0
26.02,4629.332,2.807,95.0,-4.688,5.9,-0.010
26.02,4731.439,2.891,55.1,-4.934,6.164,999.0
26.02,5197.568,3.23,86.0,-4.781,5.891,-0.006
26.02,5234.624,3.221,87.5,-4.777,6.092,999.0
26.02,5275.997,3.199,101.2,-4.717,5.958,999.0
26.02,5325.543,3.221,29.5,-5.257,6.201,999.0
26.02,5534.839,3.245,53.8,-5.012,6.266,-0.001
26.02,6247.559,3.892,38.2,-5.214,6.15,-0.004
26.02,6432.677,2.891,26.7,-5.382,6.013,999.0
26.02,6456.381,3.903,52.1,-5.093,6.176,999.0
26.02,6516.077,2.891,40.4,-5.208,6.134,999.0
