#Object,HHMMSS,DDAMAS,Teff,logg,FeH,xsi,A(Li),d(Li),f(Li),C,d(C),f(C),NaI,d(NaI),f(NaI),MgI,d(MgI),f(MgI),SiI,d(SiI),f(SiI),CaI,d(CaI),f(CaI),ScII,d(ScII),f(ScII),TiII,d(TiII),f(TiII),VI,d(VI),f(VI),CrI,d(CrI),f(CrI),MnI,d(MnI),f(MnI),FeI,d(FeI),f(FeI),FeII,d(FeII),f(FeII),CoI,d(CoI),f(CoI),NiI,d(NiI),f(NiI),ZnI,d(ZnI),f(ZnI),SrII,d(SrII),f(SrII),YII,d(YII),f(YII),ZrII,d(ZrII),f(ZrII),BaII,d(BaII),f(BaII),LaII,d(LaII),f(LaII),CeII,d(CeII),f(CeII),PrII,d(PrII),f(PrII),NdII,d(NdII),f(NdII),SmII,d(SmII),f(SmII),EuII,d(EuII),f(EuII),DyII,d(DyII),f(DyII),V,d(V),B,d(B),B-V,d(B-V),U-B,d(U-B),V-R,d(V-R),J-H,d(J-H),H-K,d(H-K),J-K,d(J-K),V-I,d(V-I),V-J,d(V-J),V-K,d(V-K),R-I,d(R-I),H,d(H),I,d(I),J,d(J),K,d(K),R,d(R),SDSSu,d(SDSSu),SDSSg,d(SDSSg),SDSSr,d(SDSSr),SDSSi,d(SDSSi),SDSSz,d(SDSSz),SDSSg_0,d(SDSSg_0),SDSSg-z,d(SDSSg-z),SDSS(g-z)_0,d(SDSS(g-z)_0),SDSSg-r,d(SDSSg-r),SDSSr-z,d(SDSSr-z),SDSSu-g,d(SDSSu-g),SDSS(u-g)_0,d(SDSS(u-g)_0),PanSTARRS1g,d(PanSTARRS1g),PanSTARRS1r,d(PanSTARRS1r),PanSTARRS1i,d(PanSTARRS1i),Stromgrenu,d(Stromgrenu),Stromgrenv,d(Stromgrenv),Stromgrenb,d(Stromgrenb),Stromgreny,d(Stromgreny),Stromgrenb-y,d(Stromgrenb-y),Stromgrenm1,d(Stromgrenm1),Stromgrenc1,d(Stromgrenc1),G(GaiaDR2),d(G(GaiaDR2)),G_BP(GaiaDR2),d(G_BP(GaiaDR2)),G_RP(GaiaDR2),d(G_RP(GaiaDR2)),EB-V,d(EB-V)
J0002+0343,000235.04,+034337.51,6207,4.16,-3.02,1.19,,,,-1.57,,,-3.29,0.18,,-2.77,0.17,,,,,-2.79,0.16,,,,,-2.63,0.11,,,,,-3.28,0.28,,,,,-3.05,0.24,,-2.89,0.35,,,,,,,,,,,-2.38,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.094,0.013,15.446,,,,,,,,,,,,,,,,,,,,,,,,,,14.062,,13.738,0.049,,,,,,,14.894,0.002,,,,,15.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0003+1556,000310.89,+155601.78,5302,2.31,-2.23,2.11,,,,-2.45,0.12,,-1.88,0.07,,-1.74,0.12,,-1.48,0.11,,-1.98,0.11,,-1.93,0.13,,-1.6,0.18,,,,,-2.37,0.18,,-2.55,0.08,,-2.23,0.11,,-1.88,0.17,,-1.67,0.24,,-2.12,0.12,,-2.18,0.08,,-1.8,0.08,,-2.3,0.15,,-1.81,0.08,,-1.95,0.1,,-1.66,0.3,,,,,,,,,,,,,,-1.47,0.08,,,,,12.321,0.006,12.747,,,,,,,,,,,,,,,,,,,,,,,,,,10.779,,10.312,0.019,,,,,,,11.912,,,,,,12.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+0123,000637.82,+012343.27,5675,3.23,-2.27,1.52,1.56,0.11,,-1.54,0.13,,-2.08,0.11,,-1.9,0.18,,-1.94,0.11,,-2.05,0.12,,-2.16,0.09,,-2,0.12,,,,,-2.38,0.1,,-2.34,0.11,,-2.28,0.11,,-2.36,0.08,,-1.88,0.08,,-2.23,0.18,,-2.11,0.11,,-2,0.09,,-2.53,0.11,,,,,-2.44,0.1,,,,,,,,,,,,,,,,,-1.34,0.09,,,,,13.123,0.01,13.793,,,,,,,,,,,,,,,,,,,,,,,,,,11.856,,11.47,0.024,,,,,,,13.008,,,,,,13.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+1057,000617.20,+105741.85,4691,1.63,-3.15,2.51,,,,-3.44,0.16,,-3.56,0.15,,-2.5,0.08,,-2.59,0.14,,-2.92,0.12,,-2.95,0.19,,-2.78,0.15,,,,,-3.73,0.23,,,,,-3.15,0.14,,-2.96,0.18,,-3.19,0.14,,-3.22,0.14,,,,,-4.41,0.15,,,,,,,,-4.45,0.21,,,,,,,,,,,,,,,,,,,,,,,12.912,0.036,13.555,,,,,,,,,,,,,,,,,,,,,,,,,,10.954,,10.33,0.022,,,,,,,12.59,,,,,,13.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+2350,001351.30,+235049.10,6093,3.98,-2.26,1.49,2.18,0.09,,-1.61,0.16,,-1.96,0.07,,-1.89,0.09,,,,,-1.8,0.1,,-1.97,0.11,,-1.71,0.13,,,,,-2.35,0.05,,,,,-2.26,0.09,,-2.1,0.11,,-2.16,0.13,,-2.32,0.09,,,,,-1.66,0.17,,-2.13,0.1,,,,,-2.45,0.09,,,,,,,,,,,,,,,,,,,,,,,12.328,0.058,12.608,,,,,,,,,,,,,,,,,,,,,,,,,,11.173,,10.876,0.021,,,,,,,12.053,,,,,,12.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0022+4254,002202.60,+425459.40,6566,3.98,-2.99,0.96,2.22,0.28,,-0.97,,,-3.25,0.21,,-2.56,0.25,,,,,-2.72,0.25,,,,,-2.57,0.26,,,,,,,,,,,-2.97,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,0.045,15.19,,,,,,,,,,,,,,,,,,,,,,,,,,13.889,,13.7,0.035,,,,,,,14.747,0.002,,,,,14.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+2023,002310.97,+202333.54,5197,2.79,-3.29,1.53,,,,-3.01,0.13,,-3.35,0.07,,-2.9,0.17,,,,,-2.97,0.14,,-2.9,0.17,,-2.94,0.15,,,,,-3.7,0.1,,,,,-3.29,0.09,,-3.08,0.21,,-2.62,0.07,,-3.18,0.09,,,,,-4.08,0.07,,,,,,,,-4.21,0.11,,,,,,,,,,,,,,,,,,,,,,,13.674,0.053,14.083,,,,,,,,,,,,,,,,,,,,,,,,,,12.004,,11.489,0.02,,,,,,,13.18,,,,,,13.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+3558,002340.03,+355804.65,5145,3.2,-2.56,1.35,,,,-1.76,0.12,,-3.12,0.1,,-2.17,0.06,,-1.83,0.09,,-2.18,0.11,,-2.29,0.17,,-2.07,0.11,,,,,-2.85,0.18,,-3.05,0.11,,-2.56,0.09,,-2.29,0.18,,-2.21,0.17,,-2.49,0.17,,-2.39,0.19,,-2.3,0.19,,-2.27,0.07,,-1.68,0.1,,-1.86,0.2,,-1.68,0.08,,-1.61,,,,,,-1.6,,,,,,,,,,,,14.215,0.04,14.686,,,,,,,,,,,,,,,,,,,,,,,,,,12.611,,12.127,0.024,,,,,,,13.858,0.004,,,,,14.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0025+2305,002543.77,+230536.82,6308,3.93,-2.81,1.99,2.3,0.1,,-1.54,,,-3.52,0.09,,-2.97,0.08,,,,,-2.45,0.16,,-2.7,0.1,,-2.48,0.12,,,,,-2.88,0.11,,,,,-2.81,0.1,,-2.66,0.17,,,,,,,,,,,-3.05,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,0.066,13.306,,,,,,,,,,,,,,,,,,,,,,,,,,11.999,,11.697,0.022,,,,,,,12.84,0.003,,,,,13.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0032+4107,003251.47,+410748.98,5074,2.16,-2.69,1.83,,,,-2.58,0.13,,-2.38,0.09,,-2.21,0.15,,-2.14,0.11,,-2.38,0.14,,-2.54,0.17,,-2.27,0.15,,,,,-2.9,0.13,,-3.31,0.21,,-2.69,0.11,,-2.62,0.15,,-2.23,0.08,,-2.72,0.15,,-2.44,0.12,,-2.21,0.12,,-2.77,0.09,,,,,-2.85,0.07,,,,,,,,,,,,,,,,,,,,,,,12.153,0.076,12.728,,,,,,,,,,,,,,,,,,,,,,,,,,10.481,,9.961,0.023,,,,,,,11.66,,,,,,12.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0037+2935,003707.81,+293506.19,6019,4.37,-2.89,1.15,1.98,0.18,,-1.8,,,-3.39,0.14,,-2.54,0.1,,,,,-2.44,0.23,,-2.68,0.18,,-2.3,0.22,,,,,-3.17,0.11,,,,,-2.9,0.18,,-2.91,0.17,,,,,,,,,,,-2.74,0.15,,,,,,,,-2.73,0.18,,,,,,,,,,,,,,,,,,,,,,,15.064,0,15.221,,,,,,,,,,,,,,,,,,,,,,,,,,13.977,,13.545,0.039,,,,,,,14.801,0.002,,,,,15.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0040+2729,004012.52,+272924.75,4574,1.34,-2.81,2.16,,,,-3.13,0.14,,-2.62,0.09,,-2.37,0.11,,-2.16,0.11,,-2.52,0.1,,-2.62,0.17,,-2.44,0.13,,-2.95,0.11,,-3.2,0.12,,-3.26,0.08,,-2.8,0.11,,-2.65,0.2,,-2.37,0.25,,-2.82,0.1,,-2.54,0.12,,-2.38,0.08,,-2.56,0.2,,-2.1,0.1,,-2.38,0.06,,-1.87,0.11,,-2.2,,,-1.43,,,-1.95,,,-1.8,,,-1.36,0.09,,,,,11.143,0.08,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,,8.509,0.019,,,,,,,10.995,0.087,,,,,11.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0041+3633,004100.90,+363339.78,5155,2.03,-2.37,2.05,,,,-2.97,0.14,,-1.76,0.08,,-1.96,0.05,,-1.77,0.11,,-2.04,0.1,,-2.15,0.12,,-1.86,0.12,,-2.2,0.11,,-2.61,0.1,,-2.86,0.11,,-2.37,0.11,,-2.21,0.12,,-2.15,0.07,,-2.33,0.15,,-2.09,0.09,,-2.01,0.11,,-2.35,0.1,,-2.03,0.12,,-2.3,0.11,,-2.31,0.12,,,,,,,,,,,,,,-2.02,0.12,,,,,12.363,0.047,12.953,,,,,,,,,,,,,,,,,,,,,,,,,,10.774,,10.282,0.024,,,,,,,11.926,,,,,,12.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0054+2649,005403.15,+264909.74,6320,4.07,-3.22,1.45,1.95,0.17,,-1.82,,,-3.16,0.12,,-2.74,0.11,,,,,-2.66,0.1,,-2.91,0.13,,-2.73,0.14,,,,,-3.47,0.21,,,,,-3.22,0.12,,-3.28,0.11,,,,,,,,,,,-3.31,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.351,0.056,14.553,,,,,,,,,,,,,,,,,,,,,,,,,,13.225,,12.961,0.028,,,,,,,14.099,0.001,,,,,14.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0055+1857,005527.49,+185757.16,5043,2.67,-2.34,1.5,0.88,0.09,,-2.24,0.1,,-2.18,0.08,,-1.86,0.15,,-1.61,0.09,,-1.99,0.07,,-2.23,0.11,,-1.89,0.1,,-2.47,0.09,,-2.52,0.09,,-2.77,0.06,,-2.34,0.09,,-2.22,0.13,,-1.98,0.05,,-2.33,0.07,,-2.12,0.09,,-2.08,0.11,,-2.38,0.1,,-1.94,0.07,,-2.5,0.06,,-2.19,0.09,,,,,-1.64,,,,,,,,,-1.77,0.07,,,,,11.082,0.02,11.609,,,,,,,,,,,,,,,,,,,,,,,,,,9.476,,8.958,0.017,,,,,,,10.909,0.043,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0056+3533,005603.37,+353357.73,6607,2.73,-2.17,3.25,,,,-0.87,,,-1.98,0.11,,-1.79,0.08,,,,,-1.83,0.06,,-1.84,0.08,,-1.64,0.1,,,,,-2.29,0.04,,,,,-2.17,0.13,,-2.05,0.08,,,,,,,,,,,-1.76,0.27,,-1.8,0.1,,,,,-1.95,0.09,,,,,,,,,,,,,,,,,,,,,,,11.513,0.01,11.727,,,,,,,,,,,,,,,,,,,,,,,,,,10.713,,10.489,0.018,,,,,,,11.335,,,,,,11.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0102+0523,010232.96,+052342.00,6364,2.69,-3.07,3.55,,,,-1.02,,,-3.14,0.18,,-2.69,0.08,,,,,-2.68,0.09,,-3.05,0.09,,-2.56,0.1,,,,,,,,,,,-3.07,0.09,,-3.36,0.06,,,,,,,,,,,-3.19,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.87,0.01,13.013,,,,,,,,,,,,,,,,,,,,,,,,,,11.844,,11.566,0.023,,,,,,,12.733,,,,,,12.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0102+1052,010235.03,+105245.47,5995,4.52,-3.11,0.3,2,0.22,,,,,-3.61,0.14,,-2.95,0.14,,,,,-3.4,0.19,,-2.3,0.2,,-2.92,0.2,,,,,,,,,,,-3.1,0.19,,-1.32,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,15.226,0.041,15.644,,,,,,,,,,,,,,,,,,,,,,,,,,14.066,,13.744,0.045,,,,,,,15.089,0.006,,,,,15.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0119+2425,011929.05,+242531.23,6288,4.26,-2.81,1.54,2.1,0.09,,-2.16,,,-3.08,0.07,,-2.46,0.04,,,,,-2.4,0.15,,-2.47,0.15,,-2.3,0.09,,,,,-2.91,0.12,,,,,-2.81,0.09,,-2.56,0.17,,,,,,,,,,,-3.04,0.09,,,,,,,,-3.02,0.13,,,,,,,,,,,,,,,,,,,,,,,11.716,0.033,11.971,,,,,,,,,,,,,,,,,,,,,,,,,,10.611,,10.329,0.017,,,,,,,11.572,0.047,,,,,11.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0119-0121,011939.33,-012149.46,6262,4.15,-3.19,1.69,,,,-0.77,0.22,,-1.25,0.12,,-2.07,0.12,,,,,-2.73,0.11,,-2.18,0.24,,-2.48,0.19,,,,,-3.13,0.27,,,,,-3.19,0.17,,-3.04,0.22,,,,,,,,,,,-1.99,0.28,,-2.36,0.17,,,,,-0.6,0.21,,-0.43,0.12,,-0.74,,,,,,-0.77,,,,,,,,,,,,15.127,0.05,15.472,,,,,,,,,,,,,,,,,,,,,,,,,,14.183,,13.779,0.06,,,,,,,14.947,0.005,,,,,15.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0124+0458,012402.63,+045815.36,4784,1.58,-3.22,2.17,,,,-3.37,0.12,,-2.83,0.08,,-2.73,0.08,,-2.71,0.11,,-2.82,0.1,,-3.08,0.14,,-2.75,0.14,,,,,-3.59,0.18,,,,,-3.22,0.11,,-3.02,0.17,,-2.87,0.11,,-3.26,0.08,,,,,-2.62,0.1,,-2.9,0.08,,-2.25,0.12,,-2.68,0.08,,-2.07,0.13,,,,,,,,-2.18,,,,,,-1.87,0.1,,,,,12.528,0.009,13.217,,,,,,,,,,,,,,,,,,,,,,,,,,10.741,,10.141,0.021,,,,,,,12.148,,,,,,12.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0124+2508,012454.99,+250821.21,6545,4.15,-3.17,1.3,2.11,0.16,,-1.17,,,,,,-2.95,0.12,,,,,-2.4,0.15,,-2.91,0.16,,-2.77,0.13,,,,,-3.02,0.11,,,,,-3.17,0.16,,-3.45,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.455,0.034,14.614,,,,,,,,,,,,,,,,,,,,,,,,,,13.302,,13.083,0.037,,,,,,,14.163,0.002,,,,,14.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
