#Object,HHMMSS,DDAMAS,Teff,logg,FeH,xsi,AlI,d(AlI),KI,d(KI),TiI,d(TiI),A(Li),d(Li),f(Li),C,d(C),f(C),NaI,d(NaI),f(NaI),MgI,d(MgI),f(MgI),SiI,d(SiI),f(SiI),CaI,d(CaI),f(CaI),ScII,d(ScII),f(ScII),TiII,d(TiII),f(TiII),VI,d(VI),f(VI),CrI,d(CrI),f(CrI),MnI,d(MnI),f(MnI),FeI,d(FeI),f(FeI),FeII,d(FeII),f(FeII),CoI,d(CoI),f(CoI),NiI,d(NiI),f(NiI),ZnI,d(ZnI),f(ZnI),SrII,d(SrII),f(SrII),YII,d(YII),f(YII),ZrII,d(ZrII),f(ZrII),BaII,d(BaII),f(BaII),LaII,d(LaII),f(LaII),CeII,d(CeII),f(CeII),PrII,d(PrII),f(PrII),NdII,d(NdII),f(NdII),SmII,d(SmII),f(SmII),EuII,d(EuII),f(EuII),DyII,d(DyII),f(DyII),V,d(V),B,d(B),B-V,d(B-V),U-B,d(U-B),V-R,d(V-R),J-H,d(J-H),H-K,d(H-K),J-K,d(J-K),V-I,d(V-I),V-J,d(V-J),V-K,d(V-K),R-I,d(R-I),H,d(H),I,d(I),J,d(J),K,d(K),R,d(R),SDSSu,d(SDSSu),SDSSg,d(SDSSg),SDSSr,d(SDSSr),SDSSi,d(SDSSi),SDSSz,d(SDSSz),SDSSg_0,d(SDSSg_0),SDSSg-z,d(SDSSg-z),SDSS(g-z)_0,d(SDSS(g-z)_0),SDSSg-r,d(SDSSg-r),SDSSr-z,d(SDSSr-z),SDSSu-g,d(SDSSu-g),SDSS(u-g)_0,d(SDSS(u-g)_0),PanSTARRS1g,d(PanSTARRS1g),PanSTARRS1r,d(PanSTARRS1r),PanSTARRS1i,d(PanSTARRS1i),Stromgrenu,d(Stromgrenu),Stromgrenv,d(Stromgrenv),Stromgrenb,d(Stromgrenb),Stromgreny,d(Stromgreny),Stromgrenb-y,d(Stromgrenb-y),Stromgrenm1,d(Stromgrenm1),Stromgrenc1,d(Stromgrenc1),G(GaiaDR2),d(G(GaiaDR2)),G_BP(GaiaDR2),d(G_BP(GaiaDR2)),G_RP(GaiaDR2),d(G_RP(GaiaDR2)),EB-V,d(EB-V)
J0003+1556,310.89,155601.78,5302,2.31,-2.23,2.11,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-2.45,0.12,,-1.88,0.07,,-1.74,0.12,,-1.48,0.11,,-1.98,0.11,,-1.93,0.13,,-1.6,0.18,,,,,-2.37,0.18,,-2.55,0.08,,-2.23,0.11,,-1.88,0.17,,-1.67,0.24,,-2.12,0.12,,-2.18,0.08,,-1.8,0.08,,-2.3,0.15,,-1.81,0.08,,-1.95,0.1,,-1.66,0.3,,,,,,,,,,,,,,-1.47,0.08,,,,,12.321,0.006,12.747,,,,,,,,,,,,,,,,,,,,,,,,,,10.779,,10.312,0.019,,,,,,,11.912,,,,,,12.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+0123,637.82,12343.27,5675,3.23,-2.27,1.52,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,1.56,0.11,,-1.54,0.13,,-2.08,0.11,,-1.9,0.18,,-1.94,0.11,,-2.05,0.12,,-2.16,0.09,,-2.0,0.12,,,,,-2.38,0.1,,-2.34,0.11,,-2.28,0.11,,-2.36,0.08,,-1.88,0.08,,-2.23,0.18,,-2.11,0.11,,-2.0,0.09,,-2.53,0.11,,,,,-2.44,0.1,,,,,,,,,,,,,,,,,-1.34,0.09,,,,,13.123,0.01,13.793,,,,,,,,,,,,,,,,,,,,,,,,,,11.856,,11.47,0.024,,,,,,,13.008,,,,,,13.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0023+3558,2340.03,355804.65,5145,3.2,-2.56,1.35,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-1.76,0.12,,-3.12,0.1,,-2.17,0.06,,-1.83,0.09,,-2.18,0.11,,-2.29,0.17,,-2.07,0.11,,,,,-2.85,0.18,,-3.05,0.11,,-2.56,0.09,,-2.29,0.18,,-2.21,0.17,,-2.49,0.17,,-2.39,0.19,,-2.3,0.19,,-2.27,0.07,,-1.68,0.1,,-1.86,0.2,,-1.68,0.08,,-1.61,,,,,,-1.6,,,,,,,,,,,,14.215,0.04,14.686,,,,,,,,,,,,,,,,,,,,,,,,,,12.611,,12.127,0.024,,,,,,,13.858,0.004,,,,,14.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0032+4107,3251.47,410748.98,5074,2.16,-2.69,1.83,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-2.58,0.13,,-2.38,0.09,,-2.21,0.15,,-2.14,0.11,,-2.38,0.14,,-2.54,0.17,,-2.27,0.15,,,,,-2.9,0.13,,-3.31,0.21,,-2.69,0.11,,-2.62,0.15,,-2.23,0.08,,-2.72,0.15,,-2.44,0.12,,-2.21,0.12,,-2.77,0.09,,,,,-2.85,0.07,,,,,,,,,,,,,,,,,,,,,,,12.153,0.076,12.728,,,,,,,,,,,,,,,,,,,,,,,,,,10.481,,9.961,0.023,,,,,,,11.66,,,,,,12.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0040+2729,4012.52,272924.75,4574,1.34,-2.81,2.16,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-3.13,0.14,,-2.62,0.09,,-2.37,0.11,,-2.16,0.11,,-2.52,0.1,,-2.62,0.17,,-2.44,0.13,,-2.95,0.11,,-3.2,0.12,,-3.26,0.08,,-2.8,0.11,,-2.65,0.2,,-2.37,0.25,,-2.82,0.1,,-2.54,0.12,,-2.38,0.08,,-2.56,0.2,,-2.1,0.1,,-2.38,0.06,,-1.87,0.11,,-2.2,,,-1.43,,,-1.95,,,-1.8,,,-1.36,0.09,,,,,11.143,0.08,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,,8.509,0.019,,,,,,,10.995,0.087,,,,,11.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0041+3633,4100.9,363339.78,5155,2.03,-2.37,2.05,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-2.97,0.14,,-1.76,0.08,,-1.96,0.05,,-1.77,0.11,,-2.04,0.1,,-2.15,0.12,,-1.86,0.12,,-2.2,0.11,,-2.61,0.1,,-2.86,0.11,,-2.37,0.11,,-2.21,0.12,,-2.15,0.07,,-2.33,0.15,,-2.09,0.09,,-2.01,0.11,,-2.35,0.1,,-2.03,0.12,,-2.3,0.11,,-2.31,0.12,,,,,,,,,,,,,,-2.02,0.12,,,,,12.363,0.047,12.953,,,,,,,,,,,,,,,,,,,,,,,,,,10.774,,10.282,0.024,,,,,,,11.926,,,,,,12.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0055+1857,5527.49,185757.16,5043,2.67,-2.34,1.5,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,0.88,0.09,,-2.24,0.1,,-2.18,0.08,,-1.86,0.15,,-1.61,0.09,,-1.99,0.07,,-2.23,0.11,,-1.89,0.1,,-2.47,0.09,,-2.52,0.09,,-2.77,0.06,,-2.34,0.09,,-2.22,0.13,,-1.98,0.05,,-2.33,0.07,,-2.12,0.09,,-2.08,0.11,,-2.38,0.1,,-1.94,0.07,,-2.5,0.06,,-2.19,0.09,,,,,-1.64,,,,,,,,,-1.77,0.07,,,,,11.082,0.02,11.609,,,,,,,,,,,,,,,,,,,,,,,,,,9.476,,8.958,0.017,,,,,,,10.909,0.043,,,,,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0056+3533,5603.37,353357.73,6607,2.73,-2.17,3.25,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,,,,-0.87,,,-1.98,0.11,,-1.79,0.08,,,,,-1.83,0.06,,-1.84,0.08,,-1.64,0.1,,,,,-2.29,0.04,,,,,-2.17,0.13,,-2.05,0.08,,,,,,,,,,,-1.76,0.27,,-1.8,0.1,,,,,-1.95,0.09,,,,,,,,,,,,,,,,,,,,,,,11.513,0.01,11.727,,,,,,,,,,,,,,,,,,,,,,,,,,10.713,,10.489,0.018,,,,,,,11.335,,,,,,11.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0127+1100,12710.41,110048.06,4942,2.49,-2.41,1.5,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,0.95,0.11,,-2.57,0.1,,-2.11,0.09,,-1.95,0.08,,-1.74,0.09,,-1.94,0.12,,-2.15,0.18,,-1.93,0.13,,,,,-2.72,0.09,,-2.66,0.12,,-2.41,0.09,,-2.02,0.2,,-2.53,0.05,,-2.4,0.13,,-2.28,0.2,,-2.35,0.15,,-2.25,0.07,,,,,-1.93,0.11,,-1.26,0.23,,,,,,,,-1.6,,,,,,-1.34,0.07,,-1.32,,,12.482,0.048,12.931,,,,,,,,,,,,,,,,,,,,,,,,,,10.64,,10.122,0.019,,,,,,,11.909,,,,,,12.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0133+0654,13338.49,65424.49,4946,1.95,-2.67,1.83,-99.99,-9.9,-99.99,-9.9,-99.99,-9.9,1.09,0.12,,-2.08,0.14,,,,,-2.3,0.21,,-1.98,0.12,,-2.47,0.11,,-2.71,0.14,,-2.56,0.14,,-2.86,0.12,,-2.89,0.15,,-2.93,0.11,,-2.68,0.12,,-2.65,0.15,,-2.15,0.13,,-2.65,0.08,,-2.57,0.13,,-2.6,0.1,,-3.2,0.13,,,,,-3.69,0.11,,,,,,,,,,,,,,,,,,,,,,,11.801,0.046,12.531,,,,,,,,,,,,,,,,,,,,,,,,,,10.16,,9.56,0.019,,,,,,,11.55,,,,,,12.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
