wavelength,species,ep,gf,HD222925
3742.617,26.0,2.938,-0.81,81.34
3787.88,26.0,1.011,-0.859,-99.9
3808.729,26.0,2.557,-1.16,80.84
3949.953,26.0,2.174,-1.25,89.69
3977.741,26.0,2.196,-1.12,107.94
4058.217,26.0,3.209,-1.18,48.37
4062.441,26.0,2.845,-0.862,79.27
4067.978,26.0,3.209,-0.53,76.25
4070.771,26.0,3.239,-0.87,57.81
4076.629,26.0,3.211,-0.529,118.23
4107.488,26.0,2.832,-0.879,100.63
4114.445,26.0,2.832,-1.303,49.61
4132.899,26.0,2.845,-1.006,70.28
4134.677,26.0,2.832,-0.649,93.48
4136.998,26.0,3.415,-0.453,67.01
4147.668,26.0,1.485,-2.104,90.28
4150.249,26.0,3.428,-1.19,29.99
4153.899,26.0,3.397,-0.321,79.53
4154.499,26.0,2.832,-0.688,78.79
4154.805,26.0,3.368,-0.4,72.89
4157.78,26.0,3.417,-0.403,67.7
4158.792,26.0,3.428,-0.7,51.34
4174.913,26.0,0.915,-2.969,78.06
4175.636,26.0,2.845,-0.827,89.31
4176.566,26.0,3.368,-0.805,66.94
4178.854,26.1,2.583,-2.5,102.54
4181.754,26.0,2.832,-0.371,102.5
4182.382,26.0,3.017,-1.18,46.48
4184.892,26.0,2.832,-0.869,78.46
4187.039,26.0,2.45,-0.548,115.17
4187.795,26.0,2.425,-0.554,124.97
4191.43,26.0,2.469,-0.666,112.42
4195.329,26.0,3.332,-0.492,74.42
4213.647,26.0,2.845,-1.29,47.67
4216.184,26.0,0.0,-3.356,105.66
4217.545,26.0,3.43,-0.484,70.86
4222.213,26.0,2.45,-0.967,92.97
4233.603,26.0,2.482,-0.604,110.22
4238.81,26.0,3.397,-0.233,82.75
4250.119,26.0,2.469,-0.405,123.78
4271.153,26.0,2.45,-0.349,127.41
4282.403,26.0,2.176,-0.779,126.32
4337.045,26.0,1.557,-1.695,100.3
4352.735,26.0,2.223,-1.287,89.02
4375.93,26.0,0.0,-3.031,119.22
4388.407,26.0,3.603,-0.682,45.11
4427.31,26.0,0.052,-2.924,122.52
4430.614,26.0,2.223,-1.659,70.09
4442.339,26.0,2.198,-1.255,98.88
4443.194,26.0,2.858,-1.043,97.21
4447.717,26.0,2.221,-1.342,93.08
4459.117,26.0,2.176,-1.279,122.35
4461.653,26.0,0.087,-3.21,107.64
4466.551,26.0,2.832,-0.6,96.33
4484.22,26.0,3.6,-0.64,47.07
4489.739,26.0,0.121,-3.966,62.92
4494.563,26.0,2.198,-1.136,104.24
4531.148,26.0,1.485,-2.155,91.85
4547.847,26.0,3.544,-0.78,37.19
4592.651,26.0,1.557,-2.449,81.18
4595.358,26.0,3.301,-1.758,34.97
4602.0,26.0,1.608,-3.154,24.33
4602.941,26.0,1.485,-2.209,83.19
4607.647,26.0,3.263,-1.33,30.59
4619.288,26.0,3.6,-1.06,30.05
4630.12,26.0,2.279,-2.587,29.01
4637.503,26.0,3.281,-1.29,31.91
4643.463,26.0,3.654,-1.147,20.07
4647.434,26.0,2.949,-1.351,50.21
4668.134,26.0,3.263,-1.08,45.41
4733.591,26.0,1.485,-2.988,43.39
4736.773,26.0,3.211,-0.752,70.29
4786.807,26.0,3.017,-1.606,37.94
4789.651,26.0,3.547,-0.958,36.48
4871.318,26.0,2.865,-0.34,105.47
4890.755,26.0,2.876,-0.38,110.72
4891.492,26.0,2.849,-0.14,118.82
4903.31,26.0,2.88,-0.89,73.86
4946.39,26.0,3.37,-1.11,40.12
4966.09,26.0,3.33,-0.79,52.32
5001.86,26.0,3.88,-0.01,61.03
5002.79,26.0,3.4,-1.46,22.51
5005.71,26.0,3.88,-0.12,58.16
5014.94,26.0,3.94,-0.18,51.59
5022.24,26.0,3.98,-0.33,38.04
5028.13,26.0,3.57,-1.02,23.04
5039.25,26.0,3.37,-1.52,29.03
5049.82,26.0,2.28,-1.35,85.02
5133.69,26.0,4.18,0.36,65.89
5171.596,26.0,1.484,-1.72,110.67
5191.454,26.0,3.036,-0.55,108.29
5192.344,26.0,2.996,-0.42,96.0
5194.94,26.0,1.56,-2.09,89.53
5198.71,26.0,2.22,-2.13,45.28
5202.34,26.0,2.18,-1.84,76.24
5215.18,26.0,3.27,-0.86,50.99
5216.274,26.0,1.607,-2.08,81.12
5217.39,26.0,3.21,-1.07,44.7
5232.94,26.0,2.938,-0.19,113.91
5242.49,26.0,3.63,-0.97,30.1
5253.46,26.0,3.28,-1.58,20.39
5263.31,26.0,3.27,-0.87,50.27
5266.555,26.0,2.996,-0.49,95.04
5383.369,26.0,4.309,0.5,72.92
5288.525,26.0,3.695,-1.49,59.32
5307.36,26.0,1.61,-2.99,37.25
5324.18,26.0,3.21,-0.11,98.65
5332.9,26.0,1.56,-2.78,45.69
5339.93,26.0,3.27,-0.63,64.37
5341.02,26.0,1.61,-1.95,95.79
5397.128,26.0,0.914,-1.98,130.32
5405.775,26.0,0.989,-1.85,134.49
5424.068,26.0,4.317,0.52,77.01
5429.696,26.0,0.957,-1.88,139.18
5434.524,26.0,1.01,-2.13,118.45
5563.6,26.0,4.19,-0.75,20.5
5569.62,26.0,3.42,-0.52,61.73
5586.76,26.0,3.37,-0.11,88.24
5624.542,26.0,3.414,-0.76,53.47
5662.516,26.0,4.175,-0.41,27.3
5762.992,26.0,4.209,-0.36,36.1
5775.08,26.0,4.22,-1.08,50.25
6008.56,26.0,3.88,-0.98,42.05
6056.0,26.0,4.73,-0.32,51.05
6065.482,26.0,2.607,-1.53,57.12
6191.558,26.0,2.431,-1.6,73.04
6219.28,26.0,2.2,-2.43,35.07
6246.32,26.0,3.6,-0.77,40.92
6252.56,26.0,2.4,-1.69,64.22
6265.134,26.0,2.174,-2.54,30.35
6301.5,26.0,3.65,-0.71,38.25
6336.82,26.0,3.69,-0.85,32.01
6408.02,26.0,3.69,-0.99,26.75
6411.65,26.0,3.65,-0.59,48.8
6421.35,26.0,2.28,-2.03,52.29
6430.846,26.0,2.174,-1.95,61.27
6677.985,26.0,2.69,-1.47,62.71
6750.152,26.0,2.422,-2.62,69.84
6843.656,26.0,4.549,-0.73,89.92
7495.067,26.0,4.22,-0.1,49.81
7511.021,26.0,4.175,0.12,64.39
7568.9,26.0,4.28,-0.88,114.0
8220.379,26.0,4.317,0.3,68.51
8688.624,26.0,2.174,-1.2,126.82
4178.854,26.1,2.583,-2.44,102.54
4491.4,26.1,2.856,-2.64,74.63
4515.334,26.1,2.844,-2.36,90.85
4555.888,26.1,2.828,-2.25,101.88
4576.328,26.1,2.844,-2.92,63.17
4582.835,26.1,2.844,-3.06,48.77
4583.829,26.1,2.807,-1.74,131.36
4620.513,26.1,2.828,-3.19,40.95
4629.332,26.1,2.807,-2.26,96.38
4731.439,26.1,2.891,-3.1,55.8
5197.568,26.1,3.23,-2.05,87.36
5234.624,26.1,3.221,-2.21,88.17
5275.997,26.1,3.199,-1.9,102.16
5325.543,26.1,3.221,-3.26,33.13
5534.839,26.1,3.245,-2.9,54.74
6247.559,26.1,3.892,-2.4,39.23
6432.677,26.1,2.891,-3.5,28.74
6456.381,26.1,3.903,-2.2,52.69
6516.077,26.1,2.891,-3.37,41.36
